tranx_date,tranx_date,symbol,open,close,low,high,vol,vwap,trade_count
2017-11-13 00:00:00-05:00,2017-11-13 00:00:00-05:00,GLP,17.5,17.4,17.15,17.625,42064.0,17.349584,311.0
2017-11-14 00:00:00-05:00,2017-11-14 00:00:00-05:00,GLP,17.3,17.45,17.151,17.55,39932.0,17.336445,188.0
2017-11-15 00:00:00-05:00,2017-11-15 00:00:00-05:00,GLP,17.55,17.6,17.15,17.6,35490.0,17.433554,238.0
2017-11-16 00:00:00-05:00,2017-11-16 00:00:00-05:00,GLP,17.45,17.5,17.3,17.6,16716.0,17.447265,115.0
2017-11-17 00:00:00-05:00,2017-11-17 00:00:00-05:00,GLP,17.35,17.4,17.35,17.6,20538.0,17.451563,117.0
2017-11-20 00:00:00-05:00,2017-11-20 00:00:00-05:00,GLP,17.4,17.4,17.25,17.5,22798.0,17.376327,137.0
2017-11-21 00:00:00-05:00,2017-11-21 00:00:00-05:00,GLP,17.35,17.15,17.1,17.4,60174.0,17.287961,204.0
2017-11-22 00:00:00-05:00,2017-11-22 00:00:00-05:00,GLP,17.15,17.35,17.15,17.4,23414.0,17.327317,163.0
2017-11-24 00:00:00-05:00,2017-11-24 00:00:00-05:00,GLP,17.3,17.5,17.2025,17.6,21227.0,17.366207,102.0
2017-11-27 00:00:00-05:00,2017-11-27 00:00:00-05:00,GLP,17.6,17.45,17.2,17.6,23304.0,17.337963,208.0
2017-11-28 00:00:00-05:00,2017-11-28 00:00:00-05:00,GLP,17.3,17.25,17.055,17.35,34721.0,17.175026,253.0
2017-11-29 00:00:00-05:00,2017-11-29 00:00:00-05:00,GLP,17.4,17.35,17.0708,17.45,27437.0,17.21595,140.0
2017-11-30 00:00:00-05:00,2017-11-30 00:00:00-05:00,GLP,17.2,17.4,17.0851,17.5,53046.0,17.23998,283.0
2017-12-01 00:00:00-05:00,2017-12-01 00:00:00-05:00,GLP,17.45,17.5,17.2845,17.7,33825.0,17.478964,193.0
2017-12-04 00:00:00-05:00,2017-12-04 00:00:00-05:00,GLP,17.45,17.1,17.1,17.5,42357.0,17.30028,315.0
2017-12-05 00:00:00-05:00,2017-12-05 00:00:00-05:00,GLP,17.1,17.15,17.05,17.3,45720.0,17.138661,294.0
2017-12-06 00:00:00-05:00,2017-12-06 00:00:00-05:00,GLP,17.1,16.95,16.95,17.15,46173.0,17.011849,292.0
2017-12-07 00:00:00-05:00,2017-12-07 00:00:00-05:00,GLP,16.9,17.1,16.9,17.5,40434.0,17.090921,205.0
2017-12-08 00:00:00-05:00,2017-12-08 00:00:00-05:00,GLP,17.2,16.9,16.5,17.375,82119.0,16.857399,609.0
2017-12-11 00:00:00-05:00,2017-12-11 00:00:00-05:00,GLP,16.9,17.25,16.9,17.35,111248.0,17.218966,394.0
2017-12-12 00:00:00-05:00,2017-12-12 00:00:00-05:00,GLP,17.2,17.0,16.95,17.3,50651.0,17.092207,223.0
2017-12-13 00:00:00-05:00,2017-12-13 00:00:00-05:00,GLP,17.05,17.05,16.9,17.25,59878.0,17.098013,231.0
2017-12-14 00:00:00-05:00,2017-12-14 00:00:00-05:00,GLP,17.15,16.8,16.6,17.25,79163.0,16.984005,462.0
2017-12-15 00:00:00-05:00,2017-12-15 00:00:00-05:00,GLP,16.65,16.75,16.5,17.1,91517.0,16.773305,412.0
2017-12-18 00:00:00-05:00,2017-12-18 00:00:00-05:00,GLP,16.75,16.65,16.65,17.0,77834.0,16.780689,337.0
2017-12-19 00:00:00-05:00,2017-12-19 00:00:00-05:00,GLP,16.65,16.65,16.5,16.9,71962.0,16.681819,482.0
2017-12-20 00:00:00-05:00,2017-12-20 00:00:00-05:00,GLP,16.6,16.55,16.25,16.85,100570.0,16.450146,403.0
2017-12-21 00:00:00-05:00,2017-12-21 00:00:00-05:00,GLP,16.5,16.7,16.45,16.8,63987.0,16.587447,266.0
2017-12-22 00:00:00-05:00,2017-12-22 00:00:00-05:00,GLP,16.5,16.35,16.2,16.7,99464.0,16.490048,558.0
2017-12-26 00:00:00-05:00,2017-12-26 00:00:00-05:00,GLP,16.25,16.45,16.25,16.85,112300.0,16.581892,572.0
2017-12-27 00:00:00-05:00,2017-12-27 00:00:00-05:00,GLP,16.55,16.2,16.05,16.6,88772.0,16.253511,550.0
2017-12-28 00:00:00-05:00,2017-12-28 00:00:00-05:00,GLP,16.1,16.75,16.0,16.8,203650.0,16.273039,1051.0
2017-12-29 00:00:00-05:00,2017-12-29 00:00:00-05:00,GLP,16.7,16.7,16.1,16.75,171983.0,16.450144,645.0
2018-01-02 00:00:00-05:00,2018-01-02 00:00:00-05:00,GLP,16.75,17.7,16.74,17.8,107941.0,17.336123,400.0
2018-01-03 00:00:00-05:00,2018-01-03 00:00:00-05:00,GLP,17.65,18.15,17.55,18.15,75965.0,17.959616,441.0
2018-01-04 00:00:00-05:00,2018-01-04 00:00:00-05:00,GLP,18.1,17.9,17.7001,18.2,37223.0,17.945147,224.0
2018-01-05 00:00:00-05:00,2018-01-05 00:00:00-05:00,GLP,17.75,17.6,17.1,17.75,74460.0,17.461858,451.0
2018-01-08 00:00:00-05:00,2018-01-08 00:00:00-05:00,GLP,17.6,17.5,17.3,17.75,27705.0,17.513699,117.0
2018-01-09 00:00:00-05:00,2018-01-09 00:00:00-05:00,GLP,17.65,17.75,17.3,17.75,41611.0,17.511452,200.0
2018-01-10 00:00:00-05:00,2018-01-10 00:00:00-05:00,GLP,17.65,17.85,17.55,18.0,37412.0,17.714561,298.0
2018-01-11 00:00:00-05:00,2018-01-11 00:00:00-05:00,GLP,17.9,18.05,17.7,18.4,85375.0,18.050987,407.0
2018-01-12 00:00:00-05:00,2018-01-12 00:00:00-05:00,GLP,17.9,17.95,17.8,18.1,27550.0,17.982054,150.0
2018-01-16 00:00:00-05:00,2018-01-16 00:00:00-05:00,GLP,18.15,17.75,17.75,18.2,45720.0,18.009641,212.0
2018-01-17 00:00:00-05:00,2018-01-17 00:00:00-05:00,GLP,17.9,17.7,17.55,17.95,34016.0,17.718626,227.0
2018-01-18 00:00:00-05:00,2018-01-18 00:00:00-05:00,GLP,17.75,17.6,17.4849,17.861,34915.0,17.594266,214.0
2018-01-19 00:00:00-05:00,2018-01-19 00:00:00-05:00,GLP,17.55,17.6,17.55,17.7,8221.0,17.609072,59.0
2018-01-22 00:00:00-05:00,2018-01-22 00:00:00-05:00,GLP,17.75,18.0,17.65,18.0,88166.0,17.84448,368.0
2018-01-23 00:00:00-05:00,2018-01-23 00:00:00-05:00,GLP,17.95,18.2,17.8,18.2,40349.0,18.014534,179.0
2018-01-24 00:00:00-05:00,2018-01-24 00:00:00-05:00,GLP,18.1,18.25,18.008,18.35,42527.0,18.214102,246.0
2018-01-25 00:00:00-05:00,2018-01-25 00:00:00-05:00,GLP,18.25,17.95,17.95,18.45,36689.0,18.17694,250.0
2018-01-26 00:00:00-05:00,2018-01-26 00:00:00-05:00,GLP,18.0,18.0,17.85,18.349,40762.0,17.983493,272.0
2018-01-29 00:00:00-05:00,2018-01-29 00:00:00-05:00,GLP,18.1,18.0,17.85,18.2,107927.0,18.012114,166.0
2018-01-30 00:00:00-05:00,2018-01-30 00:00:00-05:00,GLP,17.85,17.5,17.5,18.15,60378.0,17.732621,446.0
2018-01-31 00:00:00-05:00,2018-01-31 00:00:00-05:00,GLP,17.55,17.65,17.5,17.949,41668.0,17.652841,251.0
2018-02-01 00:00:00-05:00,2018-02-01 00:00:00-05:00,GLP,17.75,18.0,17.74,18.4,56840.0,18.138047,326.0
2018-02-02 00:00:00-05:00,2018-02-02 00:00:00-05:00,GLP,17.95,17.6,17.5,18.25,38030.0,17.713674,227.0
2018-02-05 00:00:00-05:00,2018-02-05 00:00:00-05:00,GLP,17.5,17.35,17.1,17.8,44222.0,17.447457,280.0
2018-02-06 00:00:00-05:00,2018-02-06 00:00:00-05:00,GLP,17.1,17.5,17.1,17.75,61782.0,17.520514,299.0
2018-02-07 00:00:00-05:00,2018-02-07 00:00:00-05:00,GLP,17.4,17.45,17.4,17.85,112785.0,17.621284,537.0
2018-02-08 00:00:00-05:00,2018-02-08 00:00:00-05:00,GLP,17.35,17.0,16.9,17.7,194697.0,17.43516,881.0
2018-02-09 00:00:00-05:00,2018-02-09 00:00:00-05:00,GLP,17.0,16.9,16.3,17.3,93515.0,16.804989,441.0
2018-02-12 00:00:00-05:00,2018-02-12 00:00:00-05:00,GLP,16.95,17.6,16.95,17.75,114725.0,17.273643,498.0
2018-02-13 00:00:00-05:00,2018-02-13 00:00:00-05:00,GLP,17.6,17.95,17.225,18.1,102983.0,17.819454,530.0
2018-02-14 00:00:00-05:00,2018-02-14 00:00:00-05:00,GLP,17.95,17.95,17.25,18.0,55064.0,17.663243,295.0
2018-02-15 00:00:00-05:00,2018-02-15 00:00:00-05:00,GLP,17.95,17.5,17.3,17.95,56824.0,17.587846,309.0
